slang,formal
jadwal dokter spesialis,jadwal dokter
jaim,jaga image
jancok,umpatan sangat
jancuk,umpatan sangat
japri,hubungi pribadi
jaringan bermasalah,gangguan koneksi server jaringan
jayus,tidak lucu
jdi,jadi
jelah,jelas
jelek,jelek buruk
jelek banget,sangat buruk
jelek bgt,sangat jelek
jelekk,sangat jelek
jem,jam
jempol,sangat bagus
jempolan,sangat bagus
jengkel,sangat jengkel
jengkel bgt,sangat jengkel
jengkell,sangat jengkel
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jgnkan,jangankan
jijik,sangat jijik
jikalau,jika
jir,anjing
jk,jika
jkn,layanan kesehatan
jkn mobile,aplikasi mobile
jln,jalan
jomblo,tidak punya pacar
jos,sangat bagus
jos gandos,sangat bagus luar biasa terbaik
joss,sangat bagus memuaskan hebat
josss,sangat bagus memuaskan hebat
joz,sangat bagus
juara,terbaik sangat bagus memuaskan
juaraa,terbaik nomor
jubir,juru bicara
jutek,galak
k,ke
kab,kabupaten
kabor,kabur
kacamata,klaim kacamata
kacau,rusak buruk
kacrut,kacau
kadiv,kepala divisi
kaga,tidak
kagak,tidak
kaliann,kalian
kalo,kalau
kamar,kamar perawatan
kamar penuh,ketersediaan tempat
kamar rs,kamar perawatan
kampret,kesal marah buruk
kamtibmas,keamanan dan ketertiban masyarakat
kamuu,kamu
kamuwh,kamu
kan,kan
kanwil,kantor wilayah
kapok,sangat jera
karna,karena
kartu digital,kartu kepesertaan
kartu digital bpjs,kartu kepesertaan
kartu fisik,kartu bpjs
kartu jkn,kartu kepesertaan
kasubbag,kepala subbagian
katrok,kampungan
kaya,seperti
kayak,seperti
kayanya,kayaknya
kbr,kabar
kcewa,sangat kecewa
kcwa,sangat kecewa
kdu,harus
kea,seperti
keblokir,terblokir sistem
kec,kecamatan
kece,sangat bagus
kece bgt,sangat bagus
kecewa,sangat kecewa
kecewa berat,sangat kecewa dan tidak puas
kecewa bgt,sangat kecewa
kecewa parah,sangat kecewa dan tidak puas
kejurnas,kejuaraan nasional
kek,seperti
kekeuh,keras kepala
kel,kelurahan
kelarin,selesaikan
kelas 1,iuran kelas
kelas 2,iuran kelas
kelas 3,iuran kelas
kelen,kalian
keluar sendiri,aplikasi keluar tertutup sendiri error
kemaren,kemarin
kemna,kemana
kena pulsa,biaya pulsa
kenapah,kenapa
kepengen,mau
kepingin,mau
kepsek,kepala sekolah
keren,sangat bagus
keren abis,sangat bagus luar biasa hebat
keren banget,sangat bagus
keren bgt,sangat bagus luar biasa hebat
kerenn,sangat bagus
kesal,sangat kesal
kesbang,kesatuan bangsa
kesel,sangat kesal
kesell,sangat kesal
kesra,kesejahteraan rakyat
ketrima,diterima
kgiatan,kegiatan
kibul,bohong
kimpoi,kawin
kirim,kirim data
kis,kis
kk,kartu keluarga
kl,kalau
klaim,pencairan
klau,kalau
klean,kalian
klianz,kalian
klo,kalau
kloter,kelompok terbang
klw,kalau
km,kamu
kmn,kemana
kmpret,umpatan jengkel
kmps,kampus
kmrn,kemarin
kmu,kamu
kn,kan
knal,kenal
